file,energy_chgnet,energy_mace,delta_E,force_mae,force_rmse,force_max_abs
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain-0.015_perturbed.cif,-2770.6786880493164,-2765.4107320219628,5.267956027353648,0.012548787556854147,0.019444096591655913,0.14787975097037342
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain+0.010_perturbed.cif,-2772.607406616211,-2767.517318948172,5.090087668038905,0.011441040024652589,0.01790356587455868,0.13370399325525162
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain+0.015_perturbed.cif,-2771.006217956543,-2765.9746373421513,5.031580614391714,0.011483727436088075,0.01821071079570203,0.1334092263114317
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain-0.010_perturbed.cif,-2772.268753051758,-2767.029521620745,5.23923143101274,0.012213950759878085,0.019327458936765105,0.24448530440444388
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain-0.015_perturbed.cif,-2770.289051055908,-2765.0184598674823,5.270591188425897,0.012986461156729419,0.02078971960432704,0.2250450927786397
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain+0.010_perturbed.cif,-2772.5508613586426,-2767.463142318098,5.087719040544471,0.011404994441640481,0.018131134083669998,0.13756395607169902
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain+0.015_perturbed.cif,-2770.9821166992188,-2765.946718155261,5.035398543957854,0.011048555282902866,0.017236009539589526,0.12583100271671688
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain-0.010_perturbed.cif,-2772.1337242126465,-2766.9178915359953,5.215832676651189,0.012075544313069921,0.018826178209774017,0.15317871276978268
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain-0.015_perturbed.cif,-2770.2192192077637,-2764.972268015583,5.246951192180859,0.012665740460772299,0.01993214889749726,0.16445950953747945
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain+0.010_perturbed.cif,-2772.3160285949707,-2767.215736598271,5.100291996699525,0.010832321880573367,0.016833855591780262,0.10525389403800361
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain+0.015_perturbed.cif,-2770.610710144043,-2765.561626686773,5.0490834572701715,0.011403305133563833,0.018027559063517436,0.10284243756285516
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain-0.010_perturbed.cif,-2772.3932762145996,-2767.17807143298,5.215204781619832,0.011490575388027849,0.01749319846801611,0.12621427061340817
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain-0.015_perturbed.cif,-2770.6530418395996,-2765.3963103713468,5.256731468252838,0.012163664604011432,0.01852918740158744,0.1059204454231506
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain+0.010_perturbed.cif,-2771.7694244384766,-2766.7285939198628,5.040830518613802,0.011273366139186062,0.017743666903638457,0.1218813872021087
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain+0.015_perturbed.cif,-2769.9908752441406,-2764.989680407103,5.001194837037474,0.011587082535983699,0.01860068360347962,0.13776329196055598
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain-0.010_perturbed.cif,-2772.155044555664,-2766.9947590559605,5.160285499703605,0.012048331796843876,0.018870511132751407,0.1493856723920997
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain-0.015_perturbed.cif,-2770.469192504883,-2765.269865934475,5.19932657040772,0.012795870713368391,0.019826224745307732,0.13398960922828096
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain+0.010_perturbed.cif,-2770.437057495117,-2765.3744895066484,5.0625679884688,0.012005344963167982,0.018852092742515612,0.1967178181570587
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain+0.015_perturbed.cif,-2768.547580718994,-2763.5454839329177,5.002096786076436,0.01233158198722716,0.019661662837814637,0.18468550283648688
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain-0.010_perturbed.cif,-2771.304702758789,-2766.143080112175,5.161622646613978,0.011831190834882684,0.018741283003756493,0.1624899581931285
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain-0.015_perturbed.cif,-2769.7313232421875,-2764.54666997373,5.184653268457623,0.01254418463034283,0.020047543286001782,0.16108332827608118
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain+0.010_perturbed.cif,-2770.9688301086426,-2765.9080764628306,5.060753645811928,0.011625090410797595,0.01876445375488792,0.1473355504762921
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain+0.015_perturbed.cif,-2769.0750274658203,-2764.072430313041,5.0025971527793445,0.011426032669131827,0.018535520784021983,0.13532494904757808
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain-0.010_perturbed.cif,-2771.9365882873535,-2766.706329373992,5.230258913361467,0.011549667003011804,0.017693366688124067,0.14373719857634404
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain-0.015_perturbed.cif,-2770.362590789795,-2765.094094040891,5.268496748903999,0.011907141593561236,0.018008890114870866,0.12453221104287171
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain+0.010_perturbed.cif,-2770.7355422973633,-2765.67158509235,5.063957205013139,0.011746975387799577,0.018639345837951345,0.16871631132533496
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain+0.015_perturbed.cif,-2768.9835662841797,-2763.9594210713985,5.02414521278115,0.011775105636701902,0.018871199954885082,0.16041292892086406
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain-0.010_perturbed.cif,-2770.765205383301,-2765.621332868497,5.143872514803661,0.012704795579583775,0.020034346390815964,0.1613012988404034
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain-0.015_perturbed.cif,-2769.0085945129395,-2763.8239894559083,5.184605057031149,0.012959506820735428,0.02017414522864679,0.1296629991872218
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain+0.010_perturbed.cif,-2769.288230895996,-2764.225074633461,5.063156262534903,0.011735740108912955,0.01866513738763539,0.11214359961337458
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain+0.015_perturbed.cif,-2767.4936141967773,-2762.497629304242,4.995984892535489,0.01208757183780481,0.019073323429542613,0.11351280883172488
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain-0.010_perturbed.cif,-2769.829891204834,-2764.6152076329745,5.214683571859496,0.012584624258271835,0.019652928967822343,0.14962695975252016
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain-0.015_perturbed.cif,-2768.1307525634766,-2762.8785117692896,5.252240794186946,0.012731883855964883,0.019808321959348174,0.15513997493291282
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain+0.010_perturbed.cif,-2770.037223815918,-2764.9468133275514,5.090410488366615,0.011655444012914814,0.018269984630318866,0.12525031221893948
