file,energy_chgnet_meV,energy_mace_meV,delta_E_meV,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain+0.010_perturbed.cif,-2770437.057495117,-2765374.4895066484,5062.5679884688,12.005344963167984,18.852092742515612,196.71781815705867
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain+0.015_perturbed.cif,-2768547.580718994,-2763545.483932918,5002.096786076203,12.331581987227162,19.661662837814635,184.68550283648688
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain-0.010_perturbed.cif,-2771304.702758789,-2766143.080112175,5161.622646613978,11.831190834882685,18.741283003756493,162.48995819312847
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain-0.015_perturbed.cif,-2769731.3232421875,-2764546.66997373,5184.65326845739,12.54418463034283,20.04754328600178,161.08332827608115
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain+0.010_perturbed.cif,-2770968.8301086426,-2765908.0764628304,5060.753645812161,11.625090410797595,18.76445375488792,147.33555047629216
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain+0.015_perturbed.cif,-2769075.0274658203,-2764072.430313041,5002.5971527793445,11.426032669131827,18.535520784021983,135.32494904757806
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain-0.010_perturbed.cif,-2771936.5882873535,-2766706.329373992,5230.258913361467,11.549667003011805,17.693366688124065,143.73719857634404
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain-0.015_perturbed.cif,-2770362.590789795,-2765094.094040891,5268.496748903766,11.907141593561235,18.008890114870866,124.53221104287172
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain+0.010_perturbed.cif,-2770735.5422973633,-2765671.58509235,5063.957205013372,11.746975387799575,18.639345837951346,168.71631132533497
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain+0.015_perturbed.cif,-2768983.5662841797,-2763959.4210713985,5024.14521278115,11.775105636701902,18.87119995488508,160.41292892086406
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain-0.010_perturbed.cif,-2770765.205383301,-2765621.332868497,5143.872514803894,12.704795579583775,20.03434639081597,161.3012988404034
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain-0.015_perturbed.cif,-2769008.5945129395,-2763823.9894559085,5184.605057030916,12.959506820735427,20.174145228646793,129.6629991872218
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain+0.010_perturbed.cif,-2769288.230895996,-2764225.0746334614,5063.1562625346705,11.735740108912955,18.665137387635394,112.14359961337459
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain+0.015_perturbed.cif,-2767493.6141967773,-2762497.629304242,4995.984892535489,12.08757183780481,19.07332342954261,113.51280883172487
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain-0.010_perturbed.cif,-2769829.891204834,-2764615.2076329747,5214.683571859263,12.584624258271836,19.652928967822344,149.62695975252018
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain-0.015_perturbed.cif,-2768130.7525634766,-2762878.5117692896,5252.240794186946,12.731883855964885,19.808321959348174,155.13997493291282
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain+0.010_perturbed.cif,-2770037.223815918,-2764946.8133275514,5090.410488366615,11.655444012914813,18.269984630318866,125.25031221893948
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain+0.015_perturbed.cif,-2768177.4101257324,-2763158.017932117,5019.392193615437,11.827123654057578,18.756066990351542,134.88188875277098
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain-0.010_perturbed.cif,-2770601.4404296875,-2765341.5438007507,5259.896628936753,12.539678947519556,19.852106917384127,184.52992539970012
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain-0.015_perturbed.cif,-2768993.7629699707,-2763693.8159522833,5299.947017687373,12.904178943320803,20.588881750783464,153.4709741877707
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain+0.010_perturbed.cif,-2770165.454864502,-2765119.0724420594,5046.382422442548,11.472106027573226,17.86310365651101,130.07780233914718
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain+0.015_perturbed.cif,-2768195.9495544434,-2763210.2698694216,4985.679685021751,11.816175516131285,18.583152100180346,120.63766328388954
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain-0.010_perturbed.cif,-2771216.3314819336,-2766026.5277365977,5189.803745335899,12.052223600879811,18.493837868637296,105.62506265042634
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain-0.015_perturbed.cif,-2769614.21585083,-2764382.13420636,5232.081644469872,12.36719895440306,19.339573122333867,132.95602129684164
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain+0.010_perturbed.cif,-2769064.521789551,-2764045.9735283805,5018.5482611702755,11.832727919938577,19.336771422026423,245.64291673192804
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain+0.015_perturbed.cif,-2767073.0781555176,-2762125.772345607,4947.305809910409,11.777888836994652,19.634510100380655,286.7125117761757
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain-0.010_perturbed.cif,-2770187.702178955,-2765060.9452875797,5126.756891375408,12.784212110941317,20.044152756599907,159.37738214173106
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain-0.015_perturbed.cif,-2768681.68258667,-2763520.1762873037,5161.506299366243,13.29558939588427,20.960842346687254,148.8286027899208
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain+0.010_perturbed.cif,-2769047.218322754,-2764047.6222801665,4999.596042587422,11.651915635669559,18.178289738823445,123.66721022626592
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain+0.015_perturbed.cif,-2766994.285583496,-2762057.518784364,4936.766799131874,11.702512475103386,18.377723747643536,143.32902278329027
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain-0.010_perturbed.cif,-2770376.495361328,-2765261.5183460293,5114.977015298791,12.096171262390504,18.60539786728692,101.17703708266833
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain-0.015_perturbed.cif,-2768920.5322265625,-2763770.1328289113,5150.399397651199,12.505049531794779,18.895808312453667,106.68938104265166
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain+0.010_perturbed.cif,-2767038.1622314453,-2762057.7634763904,4980.398755054921,12.684643546492799,21.223744139531714,188.76349724956538
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain+0.015_perturbed.cif,-2764712.0819091797,-2759827.396934299,4884.684974880889,13.273273711080337,22.780555482068966,209.7187161406323
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain-0.010_perturbed.cif,-2769242.500305176,-2764042.533813801,5199.966491374653,13.323858899940731,20.579216805356722,134.7904254450234
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain-0.015_perturbed.cif,-2767941.650390625,-2762696.9514343366,5244.698956288397,13.609208557926822,21.31177455033165,135.5609525927331
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain+0.010_perturbed.cif,-2767085.1287841797,-2762092.769223353,4992.359560826793,12.544556059302776,19.962355942887065,116.48664736932851
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain+0.015_perturbed.cif,-2764884.80758667,-2759969.6278738845,4915.179712785408,12.658184039082485,20.382256126095545,147.95099855514013
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain-0.010_perturbed.cif,-2768955.4481506348,-2763805.5193428006,5149.928807834163,12.52450249789057,19.36763825657321,135.06539418437433
