file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0104_strain-0.015_perturbed.cif,900,-3305.0506114959717,-3292.6894869074586,12.361124588513121,32.22668320427821,51.13189169733491,389.6270412996014
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0123_strain+0.010_perturbed.cif,900,-3390.305757522583,-3378.6704153506435,11.635342171939556,24.109445900132005,38.20352581189359,300.32167503105177
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0123_strain+0.015_perturbed.cif,900,-3394.7691917419434,-3383.280079850261,11.489111891682569,23.961559707524643,38.29710575778176,280.57546066260227
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0123_strain-0.010_perturbed.cif,900,-3363.412380218506,-3351.1221640090744,12.290216209431492,26.394549387249636,41.368542860246244,283.38726432810813
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0123_strain-0.015_perturbed.cif,900,-3354.0868759155273,-3341.6473260901207,12.43954982540663,27.371693809984432,43.913181943209224,365.03395575823606
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0131_strain+0.010_perturbed.cif,900,-3415.7676696777344,-3403.7100961573824,12.05757352035198,21.849490427742115,33.5907177693591,365.99100715419934
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0131_strain+0.015_perturbed.cif,900,-3420.1176166534424,-3408.3140200721878,11.803596581254624,21.953123961683236,33.82001154875592,323.99636058907447
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0131_strain-0.010_perturbed.cif,900,-3389.8110389709473,-3376.715383112217,13.095655858730424,24.875803149606863,38.97520498117339,286.26823580221196
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0131_strain-0.015_perturbed.cif,900,-3380.8186054229736,-3367.509883974239,13.308721448734559,25.582782185720312,39.57959957767454,318.76910097249805
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0145_strain-0.010_perturbed.cif,900,-3426.8038272857666,-3414.9790716544117,11.824755631354947,21.375382796139974,30.64506424566115,223.29491658544634
