file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain+0.010_perturbed.cif,648,-4275.365829467773,-4267.553224547297,7.812604920476588,12.005344963167984,18.852092742515612,196.71781815705867
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain+0.015_perturbed.cif,648,-4272.449970245361,-4264.730685081664,7.71928516369735,12.331581987227162,19.661662837814635,184.68550283648688
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain-0.010_perturbed.cif,648,-4276.704788208008,-4268.739321160764,7.965467047243692,11.831190834882685,18.741283003756493,162.48995819312847
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0064_strain-0.015_perturbed.cif,648,-4274.2767333984375,-4266.275725268102,8.001008130335322,12.54418463034283,20.04754328600178,161.08332827608115
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain+0.010_perturbed.cif,648,-4276.186466217041,-4268.376661208073,7.809805008968397,11.625090410797595,18.76445375488792,147.33555047629216
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain+0.015_perturbed.cif,648,-4273.263931274414,-4265.543873939878,7.72005733453625,11.426032669131827,18.535520784021983,135.32494904757806
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain-0.010_perturbed.cif,648,-4277.679920196533,-4269.6085329845555,8.071387211977708,11.549667003011805,17.693366688124065,143.73719857634404
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0070_strain-0.015_perturbed.cif,648,-4275.2509117126465,-4267.120515495202,8.130396217444286,11.907141593561235,18.008890114870866,124.53221104287172
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain+0.010_perturbed.cif,648,-4275.826454162598,-4268.011705389429,7.814748773168503,11.746975387799575,18.639345837951346,168.71631132533497
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain+0.015_perturbed.cif,648,-4273.122787475586,-4265.369476962035,7.753310513550787,11.775105636701902,18.87119995488508,160.41292892086406
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain-0.010_perturbed.cif,648,-4275.872230529785,-4267.934155661261,7.938074868524382,12.704795579583775,20.03434639081597,161.3012988404034
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0079_strain-0.015_perturbed.cif,648,-4273.1614112854,-4265.160477555413,8.000933729987082,12.959506820735427,20.174145228646793,129.6629991872218
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain+0.010_perturbed.cif,648,-4273.592948913574,-4265.779436162748,7.813512750825794,11.735740108912955,18.665137387635394,112.14359961337459
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain+0.015_perturbed.cif,648,-4270.8234786987305,-4263.113625469508,7.7098532292220625,12.08757183780481,19.07332342954261,113.51280883172487
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain-0.010_perturbed.cif,648,-4274.428844451904,-4266.381493260763,8.047351191141388,12.584624258271836,19.652928967822344,149.62695975252018
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0090_strain-0.015_perturbed.cif,648,-4271.806716918945,-4263.701407051373,8.105309867572032,12.731883855964885,19.808321959348174,155.13997493291282
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain+0.010_perturbed.cif,648,-4274.748802185059,-4266.893230443751,7.855571741307358,11.655444012914813,18.269984630318866,125.25031221893948
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain+0.015_perturbed.cif,648,-4271.878719329834,-4264.132743722403,7.745975607431319,11.827123654057578,18.756066990351542,134.88188875277098
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain-0.010_perturbed.cif,648,-4275.6195068359375,-4267.502382408566,8.117124427371891,12.539678947519556,19.852106917384127,184.52992539970012
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain-0.015_perturbed.cif,648,-4273.138523101807,-4264.959592518956,8.178930582850626,12.904178943320803,20.588881750783464,153.4709741877707
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain+0.010_perturbed.cif,648,-4274.946689605713,-4267.159062410586,7.787627195127243,11.472106027573226,17.86310365651101,130.07780233914718
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain+0.015_perturbed.cif,648,-4271.907329559326,-4264.21337942812,7.693950131206293,11.816175516131285,18.583152100180346,120.63766328388954
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain-0.010_perturbed.cif,648,-4276.568412780762,-4268.559456383639,8.008956397122347,12.052223600879811,18.493837868637296,105.62506265042634
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain-0.015_perturbed.cif,648,-4274.0960121154785,-4266.021812046853,8.074200068625942,12.36719895440306,19.339573122333867,132.95602129684164
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain+0.010_perturbed.cif,648,-4273.247718811035,-4265.503045568488,7.744673242546924,11.832727919938577,19.336771422026423,245.64291673192804
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain+0.015_perturbed.cif,648,-4270.174503326416,-4262.539772138283,7.634731188132719,11.777888836994652,19.634510100380655,286.7125117761757
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain-0.010_perturbed.cif,648,-4274.9810218811035,-4267.069360011697,7.911661869406089,12.784212110941317,20.044152756599907,159.37738214173106
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain-0.015_perturbed.cif,648,-4272.6569175720215,-4264.691630073,7.965287499021542,13.29558939588427,20.960842346687254,148.8286027899208
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain+0.010_perturbed.cif,648,-4273.221015930176,-4265.505589938528,7.715425991647862,11.651915635669559,18.178289738823445,123.66721022626592
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain+0.015_perturbed.cif,648,-4270.052909851074,-4262.434442568463,7.618467282611164,11.702512475103386,18.377723747643536,143.32902278329027
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain-0.010_perturbed.cif,648,-4275.272369384766,-4267.378886336465,7.893483048300368,12.096171262390504,18.60539786728692,101.17703708266833
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain-0.015_perturbed.cif,648,-4273.0255126953125,-4265.077365476715,7.948147218597114,12.505049531794779,18.895808312453667,106.68938104265166
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain+0.010_perturbed.cif,648,-4270.120620727539,-4262.434820179615,7.685800547924373,12.684643546492799,21.223744139531714,188.76349724956538
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain+0.015_perturbed.cif,648,-4266.530990600586,-4258.992896503548,7.538094097038083,13.273273711080337,22.780555482068966,209.7187161406323
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain-0.010_perturbed.cif,648,-4273.52237701416,-4265.497737366977,8.024639647182994,13.323858899940731,20.579216805356722,134.7904254450234
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain-0.015_perturbed.cif,648,-4271.514892578125,-4263.421221349285,8.093671228840321,13.609208557926822,21.31177455033165,135.5609525927331
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain+0.010_perturbed.cif,648,-4270.193099975586,-4262.4888413940635,7.704258581522481,12.544556059302776,19.962355942887065,116.48664736932851
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain+0.015_perturbed.cif,648,-4266.7975425720215,-4259.212388694266,7.585153877755147,12.658184039082485,20.382256126095545,147.95099855514013
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain-0.010_perturbed.cif,648,-4273.079395294189,-4265.131974294445,7.947420999744281,12.52450249789057,19.36763825657321,135.06539418437433
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain-0.015_perturbed.cif,648,-4271.113872528076,-4263.099871127103,8.01400140097303,13.165466413908822,20.473024454339026,150.37004634929679
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain+0.010_perturbed.cif,648,-4270.122528076172,-4262.366776297526,7.7557517786462995,11.74058737846517,18.727655956023547,135.5516899520851
