filename,dataset,u_E_A,d_latent_A,strain,temp,termination,facet,u_E_B,d_latent_B
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T450_0105.cif,T1,0.013942273846842285,0.5679914687921892,0.0,450,Li,111,0.006440363787953138,0.5632380340502204
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T300_0189.cif,T1,0.002643004840162787,0.6312968734652726,0.0,300,O,100,0.0009945633081860396,0.5031551064624252
cellrelaxed_LLZO_010_La_order0_off__Li_111_slab_heavy_T300_0163_strain-3_perturbed.cif,T1,0.015625358662658743,0.8503548325216748,-3.0,300,La,111,0.00574897049460877,0.7844241853930852
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T450_0018.cif,T1,0.024157432260137005,1.3931120703101842,0.0,450,Li,111,0.01191691615191749,1.2114160436887087
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T300_0032.cif,T1,0.005596216946529823,0.2543643833008917,0.0,300,La,100,0.002514592833572586,0.1537246792857875
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T450_0074.cif,T1,0.0032161326792337496,0.4390396720565818,0.0,450,Li,110,0.00157960297520668,0.3217940476768559
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T450_0144.cif,T1,0.01679475778507954,0.8269184838572728,0.0,450,Zr,111,0.008192756214410802,0.7620913397573271
cellrelaxed_LLZO_010_La_order0_off__Li_111_slab_heavy_T450_0074_strain+2_perturbed.cif,T1,0.02478263529965558,1.3588342508727718,2.0,450,La,111,0.012987371092129276,1.19162954372814
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T450_0158.cif,T1,0.004195664031684679,0.43147256241578846,0.0,450,La,100,0.0015920641550706575,0.3055550915607359
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T450_0037.cif,T1,0.03019118138363496,1.9401499517033518,0.0,450,Zr,111,0.01448183188447079,1.6521288119588278
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T300_0090.cif,T1,0.016038868603059243,0.7263761119159075,0.0,300,Li,111,0.007820460598134174,0.6817813073394434
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T300_0114.cif,T1,0.0031974519522036124,0.6206262724988091,0.0,300,La,100,0.0012476780926772323,0.499140659885069
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T450_0104.cif,T1,0.005097348188589776,0.35562772989823577,0.0,450,La,100,0.002036433329121141,0.2384782796797344
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T300_0154.cif,T1,0.0027790567398853334,0.4921244541365037,0.0,300,Li,110,0.001426244791192714,0.3669762488557542
cellrelaxed_LLZO_010_O_order5_off__Li_110_slab_heavy_T300_0053_strain+2_perturbed.cif,T1,0.002697334371531855,0.48214953316314085,2.0,300,O,110,0.0018164985315238078,0.36550668358972216
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T450_0199.cif,T1,0.008272237330279587,0.30070172295735664,0.0,450,Li,111,0.0017122523675478598,0.2450452805425445
cellrelaxed_LLZO_010_Li_order4_off__Li_100_slab_heavy_T450_0110_strain+3_perturbed.cif,T1,0.0021853064005507355,0.6632665239727804,3.0,450,Li,100,0.002015264020493511,0.5346980621138261
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T450_0184.cif,T1,0.0024593491834830786,0.6297033771675952,0.0,450,O,100,0.0007817319692610655,0.4994810233744153
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0007.cif,T1,0.0031387076306771127,0.5872842251378235,0.0,450,Zr,100,0.001260953787324389,0.4655706148113133
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T300_0015_strain-2_perturbed.cif,T1,0.03449554501970958,2.509437113258514,-2.0,300,Zr,111,0.014273256569676991,2.085798554297452
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T450_0002_strain-2_perturbed.cif,T1,0.029497202717683354,2.0399421239669517,-2.0,450,Li,111,0.01217525160786427,1.711832678709024
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T300_0093_strain-2_perturbed.cif,T1,0.0064011286071394774,0.2818722179037938,-2.0,300,La,100,0.0014017344613761447,0.1741036690735469
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0017.cif,T1,0.02986974864246561,1.8226756432324553,0.0,450,Zr,110,0.01436234033046646,1.571684818602786
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T300_0033.cif,T1,0.003299638875291512,0.5616498094425566,0.0,300,O,100,0.0014105215096727776,0.4432667180570754
cellrelaxed_LLZO_010_La_order0_off__Li_110_slab_heavy_T450_0008.cif,T1,0.004394050295368891,0.3417185822588357,0.0,450,La,110,0.002094673750126116,0.23916848238073785
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T450_0045_strain+3_perturbed.cif,T1,0.02142721432478661,1.0142846603138762,3.0,450,Li,111,0.011845465135040624,0.9154871485209678
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T300_0146.cif,T1,0.0028124983293475935,0.6167242360536955,0.0,300,O,100,0.0010379412371778992,0.4901631766734932
cellrelaxed_LLZO_010_La_order0_off__Li_110_slab_heavy_T300_0110.cif,T1,0.0034603665767963207,0.4293785957844216,0.0,300,La,110,0.0015353992319579108,0.30781649265198
cellrelaxed_LLZO_010_Li_order4_off__Li_100_slab_heavy_T450_0185.cif,T1,0.002515965015727842,0.6635646798734822,0.0,450,Li,100,0.0011518082568532126,0.5379890853159035
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T450_0118.cif,T1,0.004895051033446537,0.37636753380085175,0.0,450,La,100,0.0018268124238398943,0.2564230085002671
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T300_0094.cif,T1,0.015440133789372774,0.6850015692590535,0.0,300,Li,111,0.007484096597807513,0.6511627940833059
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T300_0089.cif,T1,0.016171025133951463,0.7410181370882777,0.0,300,Li,111,0.007801680795987601,0.6933116225864671
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T450_0007.cif,T1,0.003972213757497066,0.5422320273384761,0.0,450,La,100,0.0016349955992045757,0.431118652284194
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T450_0158.cif,T1,0.015017917015924462,0.6441519905659376,0.0,450,Zr,111,0.00726355928482274,0.6203201298613096
